Date,ZLFund BMF
10/11/2019,148.88
10/12/2019,148.92
10/13/2019,148.96
10/14/2019,149.01
10/15/2019,149.05
10/16/2019,149.08
10/17/2019,149.11
10/18/2019,149.14
10/19/2019,149.17
10/20/2019,149.20
10/21/2019,149.23
10/22/2019,149.26
10/23/2019,149.29
10/24/2019,149.32
10/25/2019,149.34
10/26/2019,149.37
10/27/2019,149.40
10/28/2019,149.43
10/29/2019,149.47
10/30/2019,149.51
10/31/2019,149.55
11/1/2019,149.58
11/2/2019,149.61
11/3/2019,149.65
11/4/2019,149.69
11/5/2019,149.73
11/6/2019,149.78
11/7/2019,149.84
11/8/2019,149.90
11/9/2019,149.95
11/10/2019,150.00
11/11/2019,150.06
11/12/2019,150.10
11/13/2019,150.14
11/14/2019,150.19
11/15/2019,150.23
11/16/2019,150.29
11/17/2019,150.34
11/18/2019,150.39
11/19/2019,150.43
11/20/2019,150.46
11/21/2019,150.49
11/22/2019,150.52
11/23/2019,150.54
11/24/2019,150.57
11/25/2019,150.58
11/26/2019,150.61
11/27/2019,150.65
11/28/2019,150.69
11/29/2019,150.74
11/30/2019,150.77
12/1/2019,150.80
12/2/2019,150.82
12/3/2019,150.85
12/4/2019,150.86
12/5/2019,150.89
12/6/2019,150.92
12/7/2019,150.94
12/8/2019,150.96
12/9/2019,150.96
12/10/2019,151.01
12/11/2019,151.05
12/12/2019,151.12
12/13/2019,151.19
12/14/2019,151.24
12/15/2019,151.30
12/16/2019,151.35
12/17/2019,151.41
12/18/2019,151.45
12/19/2019,151.49
12/20/2019,151.52
12/21/2019,151.55
12/22/2019,151.59
12/23/2019,151.62
12/24/2019,151.65
12/25/2019,151.68
12/26/2019,151.71
12/27/2019,151.75
12/28/2019,151.78
12/29/2019,151.81
12/30/2019,151.84
12/31/2019,151.87
1/1/2020,151.91
1/2/2020,151.94
1/3/2020,151.98
1/4/2020,152.01
1/5/2020,152.04
1/6/2020,152.08
1/7/2020,152.12
1/8/2020,152.17
1/9/2020,152.23
1/10/2020,152.28
1/11/2020,152.34
1/12/2020,152.41
1/13/2020,152.47
1/14/2020,152.53
1/15/2020,152.62
1/16/2020,152.72
1/17/2020,152.81
1/18/2020,152.89
1/19/2020,152.97
1/20/2020,153.03
1/21/2020,153.08
1/22/2020,153.13
1/23/2020,153.17
1/24/2020,153.21
1/25/2020,153.25
1/26/2020,153.29
1/27/2020,153.33
1/28/2020,153.37
1/29/2020,153.42
1/30/2020,153.47
1/31/2020,153.53
2/1/2020,153.58
2/2/2020,153.64
2/3/2020,153.69
2/4/2020,153.75
2/5/2020,153.80
2/6/2020,153.86
2/7/2020,153.94
2/8/2020,154.02
2/9/2020,154.12
2/10/2020,154.23
2/11/2020,154.33
2/12/2020,154.44
2/13/2020,154.53
2/14/2020,154.63
2/15/2020,154.73
2/16/2020,154.82
2/17/2020,154.90
2/18/2020,154.97
2/19/2020,155.05
2/20/2020,155.11
2/21/2020,155.17
2/22/2020,155.22
2/23/2020,155.27
2/24/2020,155.33
2/25/2020,155.39
2/26/2020,155.43
2/27/2020,155.48
2/28/2020,155.52
2/29/2020,155.56
3/1/2020,155.59
3/2/2020,155.62
3/3/2020,155.65
3/4/2020,155.68
3/5/2020,155.71
3/6/2020,155.73
3/7/2020,155.76
3/8/2020,155.80
3/9/2020,155.83
3/10/2020,155.86
3/11/2020,155.89
3/12/2020,155.92
3/13/2020,155.94
3/14/2020,155.96
3/15/2020,155.99
3/16/2020,156.01
3/17/2020,156.04
3/18/2020,156.07
3/19/2020,156.10
3/20/2020,156.13
3/21/2020,156.16
3/22/2020,156.19
3/23/2020,156.22
3/24/2020,156.25
3/25/2020,156.28
3/26/2020,156.30
3/27/2020,156.33
3/28/2020,156.36
3/29/2020,156.38
3/30/2020,156.41
3/31/2020,156.43
4/1/2020,156.45
4/2/2020,156.47
4/3/2020,156.49
4/4/2020,156.51
4/5/2020,156.53
4/6/2020,156.55
4/7/2020,156.57
4/8/2020,156.59
4/9/2020,156.61
4/10/2020,156.63
4/11/2020,156.66
4/12/2020,156.68
4/13/2020,156.71
4/14/2020,156.73
4/15/2020,156.76
4/16/2020,156.79
4/17/2020,156.81
4/18/2020,156.84
4/19/2020,156.87
4/20/2020,156.90
4/21/2020,156.93
4/22/2020,156.95
4/23/2020,156.98
4/24/2020,157.02
4/25/2020,157.06
4/26/2020,157.11
4/27/2020,157.16
4/28/2020,157.20
4/29/2020,157.25
4/30/2020,157.33
5/1/2020,157.40
5/2/2020,157.46
5/3/2020,157.51
5/4/2020,157.58
5/5/2020,157.63
5/6/2020,157.67
5/7/2020,157.70
5/8/2020,157.73
5/9/2020,157.78
5/10/2020,157.82
5/11/2020,157.86
5/12/2020,157.91
5/13/2020,157.94
5/14/2020,157.98
5/15/2020,158.05
5/16/2020,158.13
5/17/2020,158.23
5/18/2020,158.33
5/19/2020,158.44
5/20/2020,158.53
5/21/2020,158.58
5/22/2020,158.63
5/23/2020,158.67
5/24/2020,158.71
5/25/2020,158.76
5/26/2020,158.81
5/27/2020,158.86
5/28/2020,158.91
5/29/2020,158.96
5/30/2020,159.02
5/31/2020,159.08
6/1/2020,159.17
6/2/2020,159.26
6/3/2020,159.32
6/4/2020,159.37
6/5/2020,159.42
6/6/2020,159.46
6/7/2020,159.50
6/8/2020,159.54
6/9/2020,159.58
6/10/2020,159.61
6/11/2020,159.65
6/12/2020,159.69
6/13/2020,159.73
6/14/2020,159.77
6/15/2020,159.80
6/16/2020,159.84
6/17/2020,159.87
6/18/2020,159.91
6/19/2020,159.95
6/20/2020,159.99
6/21/2020,160.04
6/22/2020,160.08
6/23/2020,160.13
6/24/2020,160.18
6/25/2020,160.22
6/26/2020,160.27
6/27/2020,160.30
6/28/2020,160.34
6/29/2020,160.37
6/30/2020,160.40
7/1/2020,160.44
7/2/2020,160.47
7/3/2020,160.50
7/4/2020,160.53
7/5/2020,160.55
7/6/2020,160.58
7/7/2020,160.61
7/8/2020,160.64
7/9/2020,160.66
7/10/2020,160.69
7/11/2020,160.72
7/12/2020,160.75
7/13/2020,160.77
7/14/2020,160.80
7/15/2020,160.83
7/16/2020,160.85
7/17/2020,160.88
7/18/2020,160.90
7/19/2020,160.93
7/20/2020,160.96
7/21/2020,160.98
7/22/2020,161.01
7/23/2020,161.03
7/24/2020,161.06
7/25/2020,161.09
7/26/2020,161.11
7/27/2020,161.15
7/28/2020,161.20
7/29/2020,161.27
7/30/2020,161.34
7/31/2020,161.42
8/1/2020,161.51
