Date,Price
2020-05-29,158.96
2020-05-30,159.02
2020-05-31,159.08
2020-06-01,159.17
2020-06-02,159.26
2020-06-03,159.32
2020-06-04,159.37
2020-06-05,159.42
2020-06-06,159.46
2020-06-07,159.50
2020-06-08,159.54
2020-06-09,159.58
2020-06-10,159.61
2020-06-11,159.65
2020-06-12,159.69
2020-06-13,159.73
2020-06-14,159.77
2020-06-15,159.80
2020-06-16,159.84
2020-06-17,159.87
2020-06-18,159.91
2020-06-19,159.95
2020-06-20,159.99
2020-06-21,160.04
2020-06-22,160.08
2020-06-23,160.13
2020-06-24,160.18
2020-06-25,160.22
2020-06-26,160.27
2020-06-27,160.30
2020-06-28,160.34
2020-06-29,160.37
2020-06-30,160.40
2020-07-01,160.44
2020-07-02,160.47
2020-07-03,160.50
2020-07-04,160.53
2020-07-05,160.55
2020-07-06,160.58
2020-07-07,160.61
2020-07-08,160.64
2020-07-09,160.66
